Username,Password,Voornaam,Achternaam,AfdelingsGroep,OUPath
bsardjoe,Welkom01,Biem,Sardjoe,G-FS-FS-Directie,"OU=Users,OU=Directie"
blokker,Welkom01,Bob,Lokker,G-FS-Directie,"OU=Users,OU=Directie"
utopilis,Welkom01,Ufuk,Topilis,G-FS-Directie,"OU=Users,OU=Directie"
intertoys,Welkom01,Ika,Ntertoys,G-FS-Directie,"OU=Users,OU=Directie"
ahein,Welkom01,Albert,Heijn,G-FS-Directie,"OU=Users,OU=Directie"
plusmark,Welkom01,Paul,Lusmark,G-FS-Directie,"OU=Users,OU=Directie"
handers,Welkom01,Hans,Anders,G-FS-Spuiterij,"OU=Users,OU=Spuiterij"
kroket,Welkom01,Kiev,Roket,G-FS-Spuiterij,"OU=Users,OU=Spuiterij"
spuitjes,Welkom01,Siemon,Puitjes,G-FS-Spuiterij,"OU=Users,OU=Spuiterij"
wlebelaar,Welkom01,Wim,Lebelaar,G-FS-Voorraad,"OU=Users,OU=Voorraad"
stoelen,Welkom01,Sander,Toelen,G-FS-Voorraad,"OU=Users,OU=Voorraad"
bolcom,Welkom01,Bram,olcom,G-FS-Administratie,"OU=Users,OU=Administratie"
bbuyers,Welkom01,Brom,Buyers,G-FS-Inkoop,"OU=Users,OU=Inkoop"
msellers,Welkom01,Myriad,Sellers,G-FS-Verkoop,"OU=Users,OU=Verkoop"
